Items,group,Code_item,Son,Question,Answer1,Answer2,Audio1,Audio2
9,C,HK-F9-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F9-Q-Preference.wav,早餐你通常更喜欢吃什么？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F9-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F9-A-Right.wav
10,A,HK-F10-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F10-Q-Preference.wav,你更喜欢在什么时候学习？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F10-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F10-A-Right.wav
10,B,HK-F10-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F10-Q-Preference.wav,你更喜欢在什么时候学习？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F10-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F10-A-Right.wav
10,C,HK-F10-Q-Preference,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F10-Q-Preference.wav,你更喜欢在什么时候学习？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F10-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F10-A-Right.wav
11,A,HK-F11-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F11-Q-CommonKnowledge.wav,太阳从哪边升起？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F11-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F11-A-Right.wav
11,B,HK-F11-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F11-Q-CommonKnowledge.wav,太阳从哪边升起？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F11-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F11-A-Right.wav
11,C,HK-F11-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F11-Q-CommonKnowledge.wav,太阳从哪边升起？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F11-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F11-A-Right.wav
12,A,HK-F12-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F12-Q-CommonKnowledge.wav,鱼通常生活在哪里？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F12-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F12-A-Right.wav
12,B,HK-F12-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F12-Q-CommonKnowledge.wav,鱼通常生活在哪里？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F12-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F12-A-Right.wav
12,C,HK-F12-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F12-Q-CommonKnowledge.wav,鱼通常生活在哪里？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F12-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F12-A-Right.wav
13,A,HK-F13-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F13-Q-CommonKnowledge.wav,鸟一般用什么飞？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F13-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F13-A-Right.wav
13,B,HK-F13-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F13-Q-CommonKnowledge.wav,鸟一般用什么飞？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F13-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F13-A-Right.wav
13,C,HK-F13-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F13-Q-CommonKnowledge.wav,鸟一般用什么飞？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F13-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F13-A-Right.wav
14,A,HK-F14-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F14-Q-CommonKnowledge.wav,冬天通常比夏天怎么样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F14-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F14-A-Right.wav
14,B,HK-F14-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F14-Q-CommonKnowledge.wav,冬天通常比夏天怎么样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F14-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F14-A-Right.wav
14,C,HK-F14-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F14-Q-CommonKnowledge.wav,冬天通常比夏天怎么样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F14-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F14-A-Right.wav
15,A,HK-F15-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F15-Q-CommonKnowledge.wav,人一般用什么看东西？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F15-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F15-A-Right.wav
15,B,HK-F15-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F15-Q-CommonKnowledge.wav,人一般用什么看东西？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F15-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F15-A-Right.wav
15,C,HK-F15-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F15-Q-CommonKnowledge.wav,人一般用什么看东西？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F15-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F15-A-Right.wav
16,A,HK-F16-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F16-Q-CommonKnowledge.wav,米饭通常是用什么做的？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F16-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F16-A-Right.wav
16,B,HK-F16-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F16-Q-CommonKnowledge.wav,米饭通常是用什么做的？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F16-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F16-A-Right.wav
16,C,HK-F16-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F16-Q-CommonKnowledge.wav,米饭通常是用什么做的？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F16-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F16-A-Right.wav
17,A,HK-F17-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F17-Q-CommonKnowledge.wav,汽车一般在哪里开？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F17-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F17-A-Right.wav
17,B,HK-F17-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F17-Q-CommonKnowledge.wav,汽车一般在哪里开？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F17-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F17-A-Right.wav
17,C,HK-F17-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F17-Q-CommonKnowledge.wav,汽车一般在哪里开？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F17-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F17-A-Right.wav
18,A,HK-F18-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F18-Q-CommonKnowledge.wav,下雨的时候，地面通常会怎样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F18-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F18-A-Right.wav
18,B,HK-F18-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F18-Q-CommonKnowledge.wav,下雨的时候，地面通常会怎样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F18-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F18-A-Right.wav
18,C,HK-F18-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F18-Q-CommonKnowledge.wav,下雨的时候，地面通常会怎样？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F18-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F18-A-Right.wav
19,A,HK-F19-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F19-Q-CommonKnowledge.wav,冰通常是什么温度？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F19-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F19-A-Right.wav
19,B,HK-F19-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F19-Q-CommonKnowledge.wav,冰通常是什么温度？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F19-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F19-A-Right.wav
19,C,HK-F19-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F19-Q-CommonKnowledge.wav,冰通常是什么温度？,Natural,Odd,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F19-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F19-A-Right.wav
20,A,HK-F20-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F20-Q-CommonKnowledge.wav,学生通常在哪里上课？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F20-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F20-A-Right.wav
20,B,HK-F20-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F20-Q-CommonKnowledge.wav,学生通常在哪里上课？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F20-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F20-A-Right.wav
20,C,HK-F20-Q-CommonKnowledge,https://raw.githubusercontent.com/qiujihuang/hakka_audio/main/HK-F20-Q-CommonKnowledge.wav,学生通常在哪里上课？,Odd,Natural,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F20-A-Left.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-F20-A-Right.wav
