Items,group,,Code_item,Son,Question,Answer1,Answer2,Audio1,Audio2
9,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-9-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-Q-Focus.wav,是 哪 部 电影，张三 过年 看 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-9-A-Topic.wav
10,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-10-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-Q-Topic.wav,哪种 奶茶，李明 之前 点 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Focus.wav
10,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-10-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-Q-Focus.wav,是 哪种 奶茶，李明 之前 点 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Focus.wav
10,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-10-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-Q-TopicM.wav,哪种 奶茶，李明 之前 点 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-10-A-Focus.wav
11,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-11-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-Q-TopicM.wav,是 哪 家 公司，李四 很 讨厌？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Topic.wav
11,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-11-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-Q-Focus.wav,哪 家 公司，李四 很 讨厌？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Topic.wav
11,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-11-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-Q-Topic.wav,是 哪 家 公司，李四 很 讨厌？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-11-A-Topic.wav
12,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-12-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-Q-TopicM.wav,哪 首 歌，李明 经常 唱？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Focus.wav
12,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-12-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-Q-Topic.wav,是 哪 首 歌，李明 经常 唱？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Focus.wav
12,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-12-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-Q-Focus.wav,哪 首 歌，李明 经常 唱？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-12-A-Focus.wav
13,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-13-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-13-Q-Focus.wav,是 哪 种 语言，张三 一直 很想学？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-13-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-13-A-Topic.wav
13,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-13-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-13-Q-Topic.wav,哪 种 语言，张三 一直很 想学？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-13-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-13-A-Topic.wav
13,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-13-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-13-Q-TopicM.wav,是 哪 种 语言，张三 一直 很想学？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-13-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-13-A-Topic.wav
14,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-14-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-14-Q-Focus.wav,哪 个 国家，李明 一直 很想 去？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-14-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-14-A-Focus.wav
14,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-14-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-14-Q-TopicM.wav,是 哪 个 国家，李明 一直很想 去？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-14-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-14-A-Focus.wav
14,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-14-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-14-Q-Topic.wav,哪 个 国家，李明 一直 很想 去？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-14-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-14-A-Focus.wav
15,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-15-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-15-Q-Topic.wav,是 哪 个 手机 品牌，李四 用 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-15-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-15-A-Topic.wav
15,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-15-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-15-Q-TopicM.wav,哪 个 手机 品牌，李四 用 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-15-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-15-A-Topic.wav
15,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-15-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-15-Q-Focus.wav,是 哪 个 手机 品牌，李四 用 过？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-15-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-15-A-Topic.wav
16,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-16-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-16-Q-Topic.wav,哪 个 房间，李明 打扫 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-16-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-16-A-Focus.wav
16,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-16-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-16-Q-Focus.wav,是 哪 个 房间，李明 打扫 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-16-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-16-A-Focus.wav
16,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-16-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-16-Q-TopicM.wav,哪 个 房间，李明 打扫 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-16-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-16-A-Focus.wav
17,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-17-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-17-Q-TopicM.wav,是 哪 家 火锅店，马良 经常 和 朋友 去？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-17-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-17-A-Topic.wav
17,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-17-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-17-Q-Focus.wav,哪 家 火锅店，马良 经常 和 朋友 去？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-17-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-17-A-Topic.wav
17,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-17-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-17-Q-Topic.wav,是 哪 家 火锅店，马良 经常 和 朋友 去？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-17-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-17-A-Topic.wav
18,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-18-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-18-Q-TopicM.wav,哪种花，李明 之前 买 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-18-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-18-A-Focus.wav
18,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-18-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-18-Q-Topic.wav,是 哪种花，李明 之前 买 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-18-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-18-A-Focus.wav
18,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-18-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-18-Q-Focus.wav,哪种花，李明 之前 买 过？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-18-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-18-A-Focus.wav
19,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-19-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-19-Q-Focus.wav,是 哪类 问题，张三 一直 在 研究？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-19-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-19-A-Topic.wav
19,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-19-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-19-Q-Topic.wav,哪类 问题，张三 一直 在 研究？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-19-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-19-A-Topic.wav
19,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-19-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-19-Q-TopicM.wav,是 哪类 问题，张三 一直 在 研究？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-19-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-19-A-Topic.wav
20,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-20-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-20-Q-Focus.wav,哪 家 书店，李明 经常 光顾？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-20-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-20-A-Focus.wav
20,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-20-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-20-Q-TopicM.wav,是 哪 家 书店，李明 经常 光顾？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-20-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-20-A-Focus.wav
20,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-20-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-20-Q-Topic.wav,哪 家 书店，李明 经常 光顾？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-20-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-20-A-Focus.wav
21,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-21-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-21-Q-Topic.wav,是 哪种甜品，李四 吃过很多次？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-21-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-21-A-Topic.wav
21,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-21-Q-TopicM,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-21-Q-TopicM.wav,哪种甜品，李四 吃过很多次？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-21-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-21-A-Topic.wav
21,C,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-21-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-21-Q-Focus.wav,是 哪种甜品，李四 吃过很多次？,Focus,Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-21-A-Focus.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-21-A-Topic.wav
22,A,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-22-Q-Topic,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-22-Q-Topic.wav,哪位老师，李明 经常提起？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-22-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-22-A-Focus.wav
22,B,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/,HK-22-Q-Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-22-Q-Focus.wav,是 哪位老师，李明 经常提起？,Topic,Focus,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-22-A-Topic.wav,https://raw.githubusercontent.com/QiujiHuang/hakka_audio/main/HK-22-A-Focus.wav
